Class,Identifiers,Address,Type,Initial Value,Comment,PLCType=500
VAR,BTN_MAN,%MX5000.0,BOOL,,BOTAO MANUAL
VAR,BTN_AUT,%MX5000.1,BOOL,,BOTAO AUTOMATICO
VAR,BTN_PASSO_ESTEIRA,%MX5000.2,BOOL,,BOTAO PASSO ESTEIRA
VAR,BTN_PASSO_ELEVADOR,%MX5000.3,BOOL,,BOTAO PASSO ELEVADOR
VAR,BTN_ABRE_MORSA_MOVEL,%MX5000.4,BOOL,,BTATUS ABRE MORSA MOVEL
VAR,BTN_FECHA_MORSA_MOVEL,%MX5000.5,BOOL,,BTATUS FECHA MORSA MOVEL
VAR,BTN_ABRE_MORSA_FIXA,%MX5000.6,BOOL,,BTATUS ABRE MORSA FIXA
VAR,BTN_FECHA_MORSA_FIXA,%MX5000.7,BOOL,,BTATUS FECHA MORSA FIXA
VAR,BTN_EXPULSA_LAYERS,%MX5001.0,BOOL,,BOTAO EXPULSA LAYERS
VAR,BTN_HOME_ELEVADOR,%MX5001.1,BOOL,,BOTAO HOME ELEVADOR
VAR,BTN_HOME_TRAVE,%MX5001.2,BOOL,,BOTAO HOME TRAVE
VAR,BTN_HOME_MORSA,%MX5001.3,BOOL,,BOTAO HOME MORSA
VAR,BTN_SETUP_MACHINE,%MX5001.4,BOOL,,BOTAO SETUP MACHINE
VAR,BTN_DESB_ELEVADOR,%MX5001.5,BOOL,,BOTAO DESB ELEVADOR
VAR,BTN_RESERVA_1,%MX5001.6,BOOL,,BOTAO RESERVA 1
VAR,BTN_RESERVA_2,%MX5001.7,BOOL,,BOTAO RESERVA 2
VAR,STS_VALV_MORSA_FIXA,%MX5002.0,BOOL,,STATUS VALV MORSA FIXA
VAR,STS_VALV_MORSA_MOVEL,%MX5002.1,BOOL,,STATUS VALV MORSA MOVEL
VAR,STS_VALV_POSICIONADOR,%MX5002.2,BOOL,,STATUS VALV POSICIONADOR
VAR,STS_VALV_TRAVE,%MX5002.3,BOOL,,STATUS VALV TRAVE
VAR,STS_SENSOR_RUN,%MX5002.4,BOOL,,STATUS SENSOR RUN
VAR,STS_SENSOR_STOP,%MX5002.5,BOOL,,STATUS SENSOR STOP
VAR,TAGS_RESERVA1,%MX5002.6,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA2,%MX5002.7,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA3,%MX5003.0,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA4,%MX5003.1,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA5,%MX5003.2,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA6,%MX5003.3,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA7,%MX5003.4,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA8,%MX5003.5,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA9,%MX5003.6,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA10,%MX5003.7,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA11,%MX5004.0,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA12,%MX5004.1,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA13,%MX5004.2,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA14,%MX5004.3,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA15,%MX5004.4,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA16,%MX5004.5,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA17,%MX5004.6,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA18,%MX5004.7,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA19,%MX5005.0,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA20,%MX5005.1,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA21,%MX5005.2,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA22,%MX5005.3,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA23,%MX5005.4,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA24,%MX5005.5,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA25,%MX5005.6,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA26,%MX5005.7,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA27,%MX5006.0,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA28,%MX5006.1,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA29,%MX5006.2,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA30,%MX5006.3,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA31,%MX5006.4,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA32,%MX5006.5,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA33,%MX5006.6,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA34,%MX5006.7,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA35,%MX5007.0,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA36,%MX5007.1,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA37,%MX5007.2,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA38,%MX5007.3,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA39,%MX5007.4,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA40,%MX5007.5,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA41,%MX5007.6,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA42,%MX5007.7,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA43,%MX5008.0,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA44,%MX5008.1,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA45,%MX5008.2,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA46,%MX5008.3,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA47,%MX5008.4,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA48,%MX5008.5,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA49,%MX5008.6,BOOL,,TAGS RESERVA
VAR,TAGS_RESERVA50,%MX5008.7,BOOL,,TAGS RESERVA
VAR_RETAIN,P1_TMORSA_MOV_O,%MW15000,INT,,PARAMETRO DE TEMPO DE MORSA  MOV ABERTA
VAR_RETAIN,P2_TMORSA_MOV_C,%MW15001,INT,,PARAMETRO DE TEMPO DE MORSA MOV FECHADA
